,種類,地区名,最寄駅,最寄駅からの距離（分）,取引価格（総額）,面積（㎡）,建築年
0,宅地(土地と建物),池袋,池袋,8,1200000000,440,1997.0
1,中古マンション等,池袋,池袋,11,18000000,15,1991.0
2,中古マンション等,池袋,池袋,11,24000000,20,2011.0
3,中古マンション等,池袋,池袋,11,25000000,30,1991.0
4,中古マンション等,池袋,池袋,11,24000000,20,2011.0
5,中古マンション等,池袋,池袋,11,22000000,20,2010.0
6,宅地(土地と建物),池袋,池袋,10,32000000,40,1996.0
7,宅地(土地と建物),池袋,池袋,9,40000000,110,1980.0
9,中古マンション等,池袋,池袋,10,10000000,15,1986.0
10,中古マンション等,池袋,池袋,9,21000000,20,2007.0
11,中古マンション等,池袋,池袋,13,17000000,20,2001.0
12,中古マンション等,池袋,池袋,7,23000000,20,2005.0
13,中古マンション等,池袋,池袋,7,23000000,20,2007.0
14,中古マンション等,池袋,池袋,10,10000000,15,1986.0
15,中古マンション等,池袋,池袋,8,48000000,45,1999.0
16,中古マンション等,池袋,池袋,11,26000000,20,2010.0
17,中古マンション等,池袋,池袋,9,20000000,20,2007.0
18,中古マンション等,池袋,池袋,13,32000000,25,2013.0
19,中古マンション等,池袋,池袋,9,21000000,20,2005.0
20,中古マンション等,池袋,池袋,10,22000000,20,2012.0
22,宅地(土地と建物),池袋,池袋,11,680000000,230,1985.0
23,宅地(土地と建物),池袋,池袋,7,100000000,45,1980.0
25,中古マンション等,池袋,池袋,13,25000000,20,2013.0
26,中古マンション等,池袋,池袋,8,19000000,20,2009.0
27,中古マンション等,池袋,池袋,14,48000000,65,1984.0
28,中古マンション等,池袋,池袋,11,23000000,20,2010.0
29,中古マンション等,池袋,池袋,9,25000000,20,2012.0
30,中古マンション等,池袋,池袋,9,21000000,20,2012.0
31,中古マンション等,池袋,池袋,9,22000000,20,2005.0
32,中古マンション等,池袋,池袋,8,14000000,15,1985.0
33,中古マンション等,池袋,池袋,9,22000000,20,2007.0
34,中古マンション等,池袋,池袋,11,51000000,50,2002.0
35,中古マンション等,池袋,池袋,11,20000000,20,2010.0
36,中古マンション等,池袋,要町,3,19000000,20,2002.0
37,宅地(土地と建物),池袋,要町,6,71000000,110,1988.0
38,中古マンション等,池袋,要町,1,23000000,20,2013.0
39,中古マンション等,池袋本町,池袋,15,25000000,20,2010.0
40,中古マンション等,池袋本町,板橋,2,80000000,70,2011.0
41,中古マンション等,池袋本町,板橋,2,84000000,70,2011.0
42,中古マンション等,池袋本町,板橋,2,57000000,55,2011.0
44,宅地(土地と建物),池袋本町,北池袋,6,380000000,170,2021.0
45,中古マンション等,池袋本町,北池袋,10,7000000,20,1990.0
46,中古マンション等,池袋本町,北池袋,10,21000000,20,2005.0
47,中古マンション等,池袋本町,北池袋,10,15000000,20,1990.0
49,中古マンション等,池袋本町,北池袋,9,9500000,20,1988.0
50,中古マンション等,池袋本町,北池袋,5,23000000,20,2007.0
51,中古マンション等,池袋本町,北池袋,10,22000000,20,2007.0
52,中古マンション等,池袋本町,北池袋,10,16000000,20,1990.0
53,宅地(土地と建物),池袋本町,北池袋,8,310000000,115,2019.0
55,宅地(土地と建物),池袋本町,北池袋,11,54000000,45,2021.0
56,中古マンション等,池袋本町,北池袋,5,11000000,15,1988.0
57,中古マンション等,池袋本町,北池袋,11,55000000,60,2005.0
58,中古マンション等,池袋本町,北池袋,10,23000000,20,2007.0
59,中古マンション等,池袋本町,下板橋,4,12000000,30,2010.0
60,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
61,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
62,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
63,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
64,中古マンション等,池袋本町,下板橋,4,38000000,30,2020.0
65,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
66,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
67,中古マンション等,池袋本町,下板橋,7,43000000,65,1997.0
68,中古マンション等,池袋本町,下板橋,7,55000000,65,1997.0
69,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
70,中古マンション等,池袋本町,下板橋,7,15000000,20,1999.0
72,中古マンション等,池袋本町,下板橋,7,16000000,20,1999.0
73,中古マンション等,池袋本町,下板橋,4,38000000,30,2020.0
74,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
75,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
76,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
77,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
78,中古マンション等,池袋本町,下板橋,4,35000000,25,2020.0
79,中古マンション等,池袋本町,下板橋,3,31000000,25,2020.0
80,中古マンション等,池袋本町,下板橋,7,45000000,50,1997.0
81,中古マンション等,池袋本町,下板橋,3,35000000,25,2020.0
82,中古マンション等,池袋本町,下板橋,3,32000000,25,2020.0
83,中古マンション等,要町,要町,0,31000000,40,1979.0
84,宅地(土地と建物),要町,要町,5,66000000,45,2021.0
85,宅地(土地と建物),要町,要町,1,420000000,230,1997.0
86,中古マンション等,要町,千川,3,55000000,50,1999.0
87,中古マンション等,要町,千川,1,29000000,45,1971.0
88,中古マンション等,要町,千川,1,38000000,45,1971.0
89,中古マンション等,要町,千川,3,18000000,20,1996.0
90,宅地(土地と建物),要町,千川,2,79000000,85,2021.0
92,宅地(土地と建物),要町,千川,5,91000000,70,2020.0
93,中古マンション等,上池袋,池袋,12,41000000,45,1986.0
94,宅地(土地と建物),上池袋,池袋,14,62000000,50,2010.0
95,宅地(土地と建物),上池袋,池袋,12,88000000,90,2021.0
96,中古マンション等,上池袋,池袋,12,21000000,20,2000.0
97,中古マンション等,上池袋,池袋,12,22000000,20,2000.0
98,中古マンション等,上池袋,池袋,12,21000000,20,2000.0
99,中古マンション等,上池袋,池袋,11,21000000,20,1999.0
100,中古マンション等,上池袋,板橋,6,70000000,70,2005.0
101,中古マンション等,上池袋,板橋,6,61000000,70,2005.0
102,中古マンション等,上池袋,板橋,7,45000000,60,1996.0
103,中古マンション等,上池袋,大塚(東京),9,77000000,80,2006.0
105,中古マンション等,上池袋,大塚(東京),12,63000000,80,2006.0
106,中古マンション等,上池袋,大塚(東京),12,17000000,20,2013.0
107,宅地(土地と建物),上池袋,北池袋,7,22000000,70,1967.0
108,中古マンション等,上池袋,北池袋,9,60000000,85,1991.0
109,中古マンション等,上池袋,北池袋,8,60000000,65,2005.0
110,宅地(土地と建物),上池袋,北池袋,13,68000000,60,2021.0
111,宅地(土地と建物),上池袋,北池袋,3,80000000,105,2020.0
112,宅地(土地と建物),上池袋,北池袋,13,22000000,40,1969.0
113,宅地(土地と建物),上池袋,北池袋,3,74000000,75,2021.0
117,中古マンション等,上池袋,北池袋,8,19000000,20,1988.0
118,中古マンション等,上池袋,北池袋,9,64000000,90,1997.0
119,中古マンション等,上池袋,北池袋,8,20000000,20,2007.0
123,宅地(土地と建物),上池袋,北池袋,7,75000000,110,1996.0
125,宅地(土地と建物),上池袋,北池袋,8,290000000,270,2020.0
126,宅地(土地と建物),上池袋,北池袋,4,9800000,50,1950.0
127,宅地(土地と建物),上池袋,北池袋,9,45000000,75,1978.0
128,宅地(土地と建物),上池袋,北池袋,6,14000000,45,1973.0
129,宅地(土地と建物),上池袋,北池袋,10,66000000,65,2020.0
131,宅地(土地と建物),上池袋,北池袋,7,53000000,65,2012.0
132,中古マンション等,上池袋,北池袋,1,37000000,35,2002.0
133,中古マンション等,上池袋,北池袋,1,38000000,45,2002.0
134,中古マンション等,上池袋,北池袋,6,12000000,15,1988.0
135,中古マンション等,上池袋,北池袋,2,15000000,20,2008.0
136,中古マンション等,上池袋,西巣鴨,9,52000000,80,1979.0
137,中古マンション等,北大塚,大塚(東京),6,23000000,20,2003.0
138,中古マンション等,北大塚,大塚(東京),4,23000000,20,2010.0
139,中古マンション等,北大塚,大塚(東京),5,19000000,20,2001.0
140,宅地(土地と建物),北大塚,大塚(東京),10,19000000,35,1976.0
141,宅地(土地と建物),北大塚,大塚(東京),8,330000000,155,2021.0
142,宅地(土地と建物),北大塚,大塚(東京),8,72000000,105,1975.0
143,中古マンション等,北大塚,大塚(東京),5,20000000,20,2002.0
144,中古マンション等,北大塚,大塚(東京),4,22000000,20,2005.0
145,中古マンション等,北大塚,大塚(東京),6,18000000,20,2003.0
146,中古マンション等,北大塚,大塚(東京),7,70000000,65,2000.0
147,中古マンション等,北大塚,大塚(東京),5,21000000,20,2002.0
148,中古マンション等,北大塚,大塚(東京),5,25000000,20,2011.0
149,宅地(土地と建物),北大塚,大塚(東京),6,120000000,80,2004.0
150,中古マンション等,北大塚,大塚(東京),4,16000000,20,2010.0
151,中古マンション等,北大塚,大塚(東京),5,24000000,20,2011.0
152,中古マンション等,北大塚,大塚(東京),4,42000000,45,2000.0
153,中古マンション等,北大塚,大塚(東京),4,67000000,65,2000.0
154,中古マンション等,北大塚,大塚(東京),4,68000000,65,2012.0
155,中古マンション等,北大塚,大塚(東京),9,21000000,20,2013.0
156,宅地(土地と建物),駒込,駒込,3,200000000,165,1990.0
157,中古マンション等,駒込,駒込,3,66000000,60,2009.0
158,中古マンション等,駒込,駒込,6,60000000,60,2003.0
159,中古マンション等,駒込,駒込,2,54000000,45,2013.0
160,中古マンション等,駒込,駒込,8,76000000,70,2010.0
161,中古マンション等,駒込,駒込,2,43000000,45,1997.0
162,中古マンション等,駒込,駒込,3,22000000,20,2010.0
163,中古マンション等,駒込,駒込,6,73000000,70,1998.0
164,宅地(土地と建物),駒込,駒込,1,410000000,125,1992.0
165,宅地(土地と建物),駒込,駒込,11,26000000,40,1973.0
166,中古マンション等,駒込,駒込,2,80000000,70,2013.0
167,中古マンション等,駒込,駒込,2,47000000,55,1997.0
168,中古マンション等,駒込,駒込,6,15000000,40,1968.0
169,中古マンション等,駒込,駒込,1,12000000,15,1985.0
170,中古マンション等,駒込,駒込,5,36000000,35,2004.0
171,中古マンション等,駒込,駒込,2,28000000,35,1976.0
172,中古マンション等,駒込,巣鴨,13,51000000,50,2000.0
174,宅地(土地と建物),駒込,巣鴨,10,44000000,50,1996.0
175,宅地(土地と建物),巣鴨,池袋,8,230000000,170,2020.0
176,中古マンション等,巣鴨,大塚(東京),9,19000000,20,2007.0
178,宅地(土地と建物),巣鴨,大塚(東京),8,150000000,260,1974.0
180,中古マンション等,巣鴨,大塚(東京),9,18000000,25,2007.0
181,中古マンション等,巣鴨,大塚(東京),9,20000000,20,2007.0
182,宅地(土地と建物),巣鴨,巣鴨,9,140000000,115,2011.0
183,中古マンション等,巣鴨,巣鴨,3,20000000,20,2005.0
184,中古マンション等,巣鴨,巣鴨,6,22000000,20,1998.0
189,中古マンション等,巣鴨,巣鴨,8,21000000,20,1990.0
190,中古マンション等,巣鴨,巣鴨,3,58000000,50,2013.0
191,中古マンション等,巣鴨,巣鴨,2,24000000,20,2012.0
192,中古マンション等,巣鴨,巣鴨,2,25000000,20,2016.0
193,中古マンション等,巣鴨,巣鴨,6,16000000,20,1998.0
194,中古マンション等,巣鴨,巣鴨,4,22000000,20,2011.0
195,中古マンション等,巣鴨,巣鴨,5,23000000,25,1986.0
196,中古マンション等,巣鴨,巣鴨,8,8500000,15,1990.0
197,中古マンション等,巣鴨,巣鴨,3,63000000,65,2000.0
198,中古マンション等,巣鴨,巣鴨,12,25000000,30,1984.0
199,中古マンション等,巣鴨,巣鴨,11,20000000,20,2000.0
200,宅地(土地と建物),巣鴨,巣鴨,11,61000000,65,2021.0
201,宅地(土地と建物),巣鴨,巣鴨,10,62000000,85,2021.0
202,宅地(土地と建物),巣鴨,巣鴨,4,160000000,90,1960.0
203,宅地(土地と建物),巣鴨,巣鴨,6,1100000000,250,2021.0
204,中古マンション等,巣鴨,巣鴨,10,12000000,15,1990.0
205,中古マンション等,巣鴨,巣鴨,6,21000000,20,1998.0
206,中古マンション等,巣鴨,巣鴨,2,25000000,20,2006.0
208,中古マンション等,巣鴨,巣鴨,10,12000000,15,1990.0
209,中古マンション等,巣鴨,巣鴨,6,19000000,20,1998.0
210,中古マンション等,巣鴨,巣鴨,12,28000000,35,1984.0
211,中古マンション等,巣鴨,巣鴨,8,17000000,20,1990.0
212,中古マンション等,巣鴨,巣鴨,5,52000000,50,2015.0
213,中古マンション等,巣鴨,巣鴨,2,13000000,25,1977.0
214,中古マンション等,巣鴨,巣鴨,5,22000000,20,2010.0
215,中古マンション等,巣鴨,巣鴨,8,18000000,30,1990.0
218,中古マンション等,巣鴨,巣鴨,2,17000000,25,1977.0
220,中古マンション等,巣鴨,西巣鴨,4,70000000,70,2006.0
221,宅地(土地と建物),巣鴨,西巣鴨,6,58000000,65,2021.0
223,中古マンション等,巣鴨,西巣鴨,6,17000000,20,1993.0
224,中古マンション等,巣鴨,西巣鴨,6,63000000,60,2008.0
225,中古マンション等,巣鴨,西巣鴨,8,39000000,50,1998.0
226,中古マンション等,巣鴨,西巣鴨,4,62000000,55,2006.0
229,宅地(土地と建物),巣鴨,西巣鴨,9,22000000,55,1999.0
230,中古マンション等,巣鴨,西巣鴨,4,57000000,65,2006.0
231,中古マンション等,巣鴨,西巣鴨,6,37000000,60,1993.0
